Photo,URL,Date/Time Original (Capture),Camera Make,Width,Height,File Type
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-09/P9096404.ORF,lightroom://com.johnrellis.anyfilter/F892D0E3-7794-434F-BE97-6CF513D81975,2017-09-09 12:56:00,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2019/2019-07-04/0015_###.jpg,lightroom://com.johnrellis.anyfilter/316BEBDB-6300-41EA-BE77-8ED8D6DCCC0A,2019-07-04 03:07:02,Noritsu Koki,2560.0,1697.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-19/P9198831.ORF,lightroom://com.johnrellis.anyfilter/063346FA-6063-4093-B6FA-0E18102E1412,2017-09-19 13:06:02,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-30/IMG_4424.CR3,lightroom://com.johnrellis.anyfilter/1E190839-7040-42B7-926A-0D7E87711B89,2024-05-30 17:16:34+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-10-04/PA040903.ORF,lightroom://com.johnrellis.anyfilter/F965A054-DB92-4DA4-B1A7-005DF94B9223,2017-10-04 19:44:29,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Users/jabraham/Pictures/Lightroom/PicturesFromOthers/Alans/April2007Etc/DSC_0063.JPG,lightroom://com.johnrellis.anyfilter/C82D0A2D-1E08-4FF3-BF79-49508A85F297,2007-05-12 17:43:13.10-06:00,Nikon,3872.0,2592.0,JPEG
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-10/IMG_1965.CR3,lightroom://com.johnrellis.anyfilter/565A0AA3-E941-4D02-857D-6D46630F1D62,2024-05-10 10:11:44+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2024/2024-01-13/Maxine's Paintings 390.jpg,lightroom://com.johnrellis.anyfilter/49C2A7EC-A996-470C-98CA-189889A7E1FC,2024-01-13 16:52:26,Canon,2560.0,1771.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2016/2016-06-23/P6236869.ORF,lightroom://com.johnrellis.anyfilter/C37B056C-6E29-4255-A3F2-97BC0B563D1D,2016-06-23 11:59:40,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/P7269327.JPG,lightroom://com.johnrellis.anyfilter/3B1C475F-6FD2-42AE-8339-2413EFBA3D96,2016-07-26 14:44:30,Olympus,2560.0,1440.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-27/IMG_4031.CR3,lightroom://com.johnrellis.anyfilter/5A599A0D-C2D0-40CD-B190-D952C1948537,2024-05-27 13:59:10+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2015/2015-09-02/P9027941-HDR.dng,lightroom://com.johnrellis.anyfilter/08858E70-C2AA-4EFA-AFCC-7953DD4C248F,2015-09-02 14:32:45,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-01/IMG_4830.CR3,lightroom://com.johnrellis.anyfilter/822FB310-0E83-4391-832A-D508F32A0281,2024-06-01 12:43:02+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
